SNo,Movie Name,Genres,Synopsis,Director,Rating,Release Date (Theaters),Release Date (Streaming),Runtime,Box Office,Critic Score,Critic Reviews,Audience Score,Audience Reviews
1,HIS THREE DAUGHTERS,Drama,"From writer-director Azazel Jacobs (French Exit, The Lovers) comes this bittersweet and often funny story of an elderly patriarch and the three grown daughters who come to be with him in his final days. Katie (Carrie Coon) is a controlling Brooklyn mother dealing with a wayward teenage daughter; free-spirited Christina (Elizabeth Olsen) is a different kind of mom, separated from her offspring for the first time; and Rachel (Natasha Lyonne) is a sports-betting stoner who has never left her father's apartment -- much to the chagrin of her stepsisters, who share a different mother and worldview. Continuing his astute exploration of family dynamics in close-knit spaces, Jacobs follows the siblings over the course of three volatile days, as death looms, grievances erupt, and love seeps through the cracks of a fractured home.",Azazel Jacobs,R,"Sep 6, 2024, Limited","Sep 20, 2024",1h 41m,N/A,,N/A,,N/A
2,REBEL RIDGE,"Action, Drama","Terry Richmond enters the town of Shelby Springs on a simple but urgent mission-- post bail for his cousin and save him from imminent danger. But when Terry’s life’s savings is unjustly seized by law-enforcement, he’s forced to go head to head with local police chief Sandy Burnne and his combat-ready officers. Terry finds an unlikely ally in court clerk Summer McBride and the two become ensnared in a deep-rooted conspiracy within the remote township. As the stakes turn deadly, Terry must call upon his mysterious background to break the department’s hold on the community, bring justice to his own family-- and protect Summer in the process.",Jeremy Saulnier,N/A,N/A,"Sep 6, 2024",2h 11m,N/A,,N/A,,N/A
3,BLINK TWICE,Mystery & Thriller,"When tech billionaire Slater King (Channing Tatum) meets cocktail waitress Frida (Naomi Ackie) at his fundraising gala, sparks fly. He invites her to join him and his friends on a dream vacation on his private island. It's paradise. Wild nights blend into sun soaked days and everyone's having a great time. No one wants this trip to end, but as strange things start to happen, Frida begins to question her reality. There is something wrong with this place. She'll have to uncover the truth if she wants to make it out of this party alive.",Zoë Kravitz,R (Language Throughout|Drug Use|Sexual Assault|Some Sexual References|Strong Violent Content),"Aug 23, 2024, Wide","Sep 17, 2024",1h 42m,$22.8M,,N/A,,N/A
4,SPEAK NO EVIL,"Horror, Mystery & Thriller, Drama","When an American family is invited to spend the weekend at the idyllic country estate of a charming British family they befriended on vacation, what begins as a dream holiday soon warps into a snarled psychological nightmare.",James Watkins,R,"Sep 13, 2024, Wide","Oct 1, 2024",1h 50m,$21.4M,,N/A,,N/A
4,SPEAK NO EVIL,"Horror, Mystery & Thriller, Drama","When an American family is invited to spend the weekend at the idyllic country estate of a charming British family they befriended on vacation, what begins as a dream holiday soon warps into a snarled psychological nightmare.",James Watkins,R,"Sep 13, 2024, Wide","Oct 1, 2024",1h 50m,$21.4M,,N/A,,N/A
5,WILL & HARPER,"Documentary, LGBTQ+","Three years ago, Will Ferrell was filming a movie when he received a most surprising email: his‬ dear friend of nearly 30 years was coming out to him as a trans woman.‬ That friend was Harper Steele, a writer he met on his first day at‬‭ Saturday Night Live‬‭ back in 1995.‬ From that fateful first meeting in the halls of 30 Rock, Will knew he had found a match made in‬ comedy, and their friendship and creative partnership would only continue to grow over the next 3‬ decades.‬ In this intimate, honest, and heartfelt documentary, Will and Harper hit the open road together to‬ process this new stage of their friendship and reintroduce Harper to the country that she loves --‬ this time, as herself. Over 16 days, the two drive from New York to LA, visiting stops that are‬ meaningful to them, to their friendship, and to America. Through laughter, tears, and many cans of‬ Pringles, they push past their comfort zones as they re-examine their relationships to these‬ spaces, and to each other, in this new light.‬",Josh Greenbaum,R (Language),"Sep 13, 2024, Limited","Sep 27, 2024",1h 54m,N/A,,N/A,,N/A
6,ODDITY,"Horror, Mystery & Thriller","When Dani is brutally murdered at the remote country house that she and her husband Ted are renovating, everyone suspects a patient from the local mental health institution, where Ted is a doctor. However, soon after the tragic killing, the suspect is found dead. A year later, Dani's blind twin sister Darcy, a self-proclaimed psychic and collector of cursed items, pays an unexpected visit to Ted and his new girlfriend, Yana. Convinced that there was more to her sister's murder than people know, Darcy has brought with her the most dangerous items from her cursed collection to help her exact revenge.",Damian McCarthy,R (Language|Some Bloody Images/Gore),"Jul 19, 2024, Wide","Aug 20, 2024",1h 38m,$1.2M,,N/A,,N/A
7,GHOSTLIGHT,"Comedy, Drama","When melancholic construction worker Dan (Keith Kupferer) finds himself drifting from his wife and daughter, he discovers community and purpose in a local theater's production of Romeo and Juliet. As the drama onstage starts to mirror his own life, he and his family are forced to confront a personal loss.",Kelly O'Sullivan,R (Language),"Jun 14, 2024, Limited","Jul 30, 2024",1h 55m,$694.0K,,N/A,,N/A
8,LONGLEGS,"Horror, Mystery & Thriller","In pursuit of a serial killer, an FBI agent uncovers a series of occult clues that she must solve to end his terrifying killing spree.",Oz Perkins,R (Disturbing Images|Bloody Violence|Some Language),"Jul 12, 2024, Wide","Aug 23, 2024",1h 41m,$74.0M,,N/A,,N/A
9,CIVIL WAR,"Action, War, Mystery & Thriller, Drama","From filmmaker Alex Garland comes a journey across a dystopian future America, following a team of military-embedded journalists as they race against time to reach DC before rebel factions descend upon the White House.",Alex Garland,R (Language Throughout|Bloody/Disturbing Images|Strong Violent Content),"Apr 12, 2024, Wide","May 24, 2024",1h 49m,$68.6M,,N/A,,N/A
10,I SAW THE TV GLOW,"Sci-Fi, Horror, Drama, LGBTQ+, Mystery & Thriller","Teenager Owen is just trying to make it through life in the suburbs when his classmate introduces him to a mysterious late-night TV show — a vision of a supernatural world beneath their own. In the pale glow of the television, Owen’s view of reality begins to crack.",Jane Schoenbrun,PG-13 (Thematic Elements|Teen Smoking|Some Sexual Material|Violent Content),"May 17, 2024, Wide","Jun 14, 2024",1h 40m,$4.5M,,N/A,,N/A
11,DEADPOOL & WOLVERINE,"Action, Adventure, Comedy","Deadpool's peaceful existence comes crashing down when the Time Variance Authority recruits him to help safeguard the multiverse. He soon unites with his would-be pal, Wolverine, to complete the mission and save his world from an existential threat.",Shawn Levy,R (Language Throughout|Gore|Sexual References|Strong Bloody Violence),"Jul 26, 2024, Wide","Oct 1, 2024",2h 8m,$627.2M,,N/A,,N/A
12,INSIDE OUT 2,"Kids & Family, Comedy, Adventure, Animation","The little voices inside Riley's head know her inside and out--but next summer, everything changes when Disney and Pixar's Inside Out 2 introduces a new Emotion: Anxiety.",Kelsey Mann,PG (Some Thematic Elements),"Jun 14, 2024, Wide","Aug 20, 2024",1h 36m,$652.9M,,N/A,,N/A
13,SLEEP,"Mystery & Thriller, Horror, Comedy","SLEEP follows newlyweds Hyun-su (Lee Sun-kyun, PARASITE) and Soo-jin (Jung Yu-mi), whose domestic bliss is disrupted when Hyun-su begins speaking in his sleep, ominously stating, ""Someone's inside.""  From that night on, whenever he falls asleep, Hyun-su transforms into someone else, with no recollection of what happened the night before. Overwhelmed with anxiety that he may hurt himself or their young family, Soo-jin can barely sleep because of this irrational fear. Despite treatment, Hyun-su's sleepwalking only intensifies, and Soo-jin begins to feel that her unborn child may be in danger.",Jason Yu,N/A,"Sep 27, 2024, Limited","Sep 27, 2024",1h 34m,N/A,,N/A,,N/A
14,CUCKOO,"Horror, Mystery & Thriller","Reluctantly, 17-year-old Gretchen leaves her American home to live with her father, who has just moved into a resort in the German Alps with his new family. Arriving at their future residence, they are greeted by Mr. König, her father's boss, who takes an inexplicable interest in Gretchen's mute half-sister Alma. Something doesn't seem right in this tranquil vacation paradise. Gretchen is plagued by strange noises and bloody visions until she discovers a shocking secret that also concerns her own family.",Tilman Singer,R (Language|Brief Teen Drug Use|Bloody Images|Violence),"Aug 9, 2024, Wide","Sep 17, 2024",1h 42m,$6.2M,,N/A,,N/A
